Player Name,CS at 10,Max Level Lead,Outcome
Kiin,89,2,Win
Kiin,99,3,Win
Kiin,86,1,Lose
Kiin,64,2,Lose
Kiin,80,2,Lose
Kiin,85,3,Win
Kiin,6,1,Lose
Kiin,71,1,Lose
Kiin,83,1,Lose
Kiin,71,2,Lose
Kiin,74,0,Lose
Kiin,69,1,Lose
Kiin,83,1,Lose
Kiin,86,2,Win
Kiin,85,4,Win
Kiin,74,2,Win
Kiin,92,1,Win
Kiin,85,2,Lose
Kiin,77,1,Lose
Kiin,70,1,Lose
Kiin,71,1,Win
Kiin,71,2,Lose
Kiin,83,2,Win
Kiin,69,3,Win
Kiin,78,1,Lose
Kiin,88,2,Win
Kiin,66,2,Win
Kiin,88,1,Lose
Canyon,17,1,Win
Canyon,0,1,Lose
Canyon,0,1,Lose
Canyon,0,1,Lose
Canyon,0,0,Win
Canyon,6,1,Lose
Canyon,0,1,Lose
Canyon,3,1,Win
Canyon,72,1,Lose
Canyon,4,3,Win
Canyon,2,2,Win
Canyon,91,1,Lose
Canyon,8,1,Lose
Canyon,0,2,Win
Canyon,1,2,Win
Canyon,9,2,Win
Canyon,0,1,Win
Canyon,1,1,Win
Canyon,0,2,Win
Canyon,2,2,Win
Canyon,4,2,Win
Canyon,3,2,Lose
Canyon,0,1,Win
Canyon,3,2,Win
Canyon,2,1,Lose
Canyon,0,2,Lose
Canyon,1,0,Lose
Canyon,6,1,Win
Canyon,62,2,Win
Canyon,7,1,Win
Chovy,96,1,Lose
Chovy,92,3,Win
Chovy,90,1,Win
Chovy,90,2,Win
Chovy,86,3,Win
Chovy,92,2,Win
Chovy,88,1,Lose
Chovy,76,1,Lose
Chovy,74,2,Win
Chovy,9,1,Lose
Chovy,73,1,Lose
Chovy,80,1,Win
Chovy,95,2,Win
Chovy,74,2,Win
Chovy,88,2,Win
Chovy,78,1,Lose
Chovy,3,1,Lose
Chovy,93,3,Win
Chovy,88,1,Lose
Chovy,79,1,Win
Chovy,90,2,Win
Chovy,86,1,Lose
Chovy,92,2,Win
Chovy,89,2,Lose
Peyz,65,3,Win
Peyz,3,3,Win
Peyz,75,2,Win
Peyz,75,2,Lose
Peyz,10,1,Lose
Peyz,63,1,Lose
Peyz,73,2,Win
Peyz,71,3,Win
Peyz,76,1,Lose
Peyz,62,0,Lose
Peyz,65,2,Lose
Peyz,73,2,Win
Peyz,62,1,Win
Peyz,75,1,Lose
Peyz,82,1,Win
Peyz,68,1,Lose
Peyz,82,2,Lose
Peyz,1,2,Win
Peyz,0,3,Win
Peyz,70,1,Lose
Peyz,71,1,Lose
Peyz,1,2,Win
Peyz,71,2,Win
Peyz,65,1,Lose
Peyz,65,2,Win
Peyz,20,1,Win
Peyz,5,1,Win
Peyz,17,2,Win
Peyz,13,1,Lose
Peyz,56,2,Win
Lehends,23,1,Win
Lehends,14,1,Lose
Lehends,20,1,Win
Lehends,19,2,Win
Lehends,21,1,Lose
Lehends,5,2,Win
Lehends,14,1,Lose
Lehends,12,1,Lose
Lehends,60,1,Win
Lehends,12,1,Lose
Lehends,46,1,Lose
Lehends,7,1,Win
Lehends,78,2,Win
Lehends,8,2,Lose
Lehends,45,1,Lose
Lehends,14,0,Lose
Lehends,13,2,Win
Lehends,10,1,Win
Lehends,19,2,Win
Lehends,23,1,Win
Lehends,10,1,Win
Lehends,12,1,Win
Lehends,11,1,Lose
Lehends,66,2,Lose
Lehends,18,1,Win
Lehends,14,2,Win
Lehends,11,1,Lose
Lehends,7,1,Lose
Lehends,18,1,Lose
Lehends,13,1,Lose
